"geneid","ex_meth_logFC","ex_meth_logCPM","LR","PValue","GE_logFC","GE_logCPM"
"SPU_000003",0.429954696958497,8.09056123684659,1.06411697601639,0.302278072864369,0.242379138938781,6.49860127571218
"SPU_000018",-0.373688294757288,8.65201755325966,1.11824339610227,0.29029701081348,-0.166712360352002,0.455793854283251
"SPU_000019",-0.803026102792841,9.04747950854013,5.39316368742502,0.0202157866576291,-0.50002979655994,0.80175001503763
"SPU_000020",0.66592459873228,7.55826004922998,2.0880236854205,0.148458013404893,0.0212085448285463,0.491435409023019
"SPU_000035",0.214588597348614,7.36517745152155,0.181634490637361,0.669972331727519,-0.0437078613001798,6.21115884648596
"SPU_000048",1.38280626812444,7.08014052741188,6.47881380716074,0.0109167813995424,0.0770706897850324,8.17058016334979
"SPU_000053",-0.106331416268907,9.09504005143323,0.0930465283220618,0.760339274574976,-0.091741845346829,12.4192720038514
"SPU_000061",-0.632556085662094,7.4375987318918,1.64877573283007,0.199125642327763,-0.326673227697713,7.77077235046716
"SPU_000066",-0.774225441654234,4.33500619180044,0.566688088521823,0.45157799133357,-0.224602692660539,1.87837292244316
"SPU_000069",-2.4332136348236,4.34736307717657,4.19452845194819,0.0405546304172939,-0.471590315673447,3.45444637164912
"SPU_000070",-1.03535845842682,7.48302124835564,4.00762172955743,0.0452950008433204,0.458597382345679,1.56179889902642
"SPU_000071",0.132945281624103,7.59343385334369,0.098826300661114,0.753242691237119,0.453679177740657,0.629429538370236
"SPU_000073",-0.445329456785051,4.06457107981512,0.12832849260964,0.72017144918605,-0.319903989292131,3.05225104532836
"SPU_000092",-0.416651779690683,7.16178965572342,0.670066712725553,0.413028348912091,-3.70410908080903,3.33011207672692
"SPU_000098",-0.218828340847785,5.46131010600681,0.0729211929644968,0.78713006283896,0.00792702147158908,6.54763761037104
"SPU_000105",-1.54679766325386,4.95855223244911,2.31324348255006,0.128276132520088,-0.116065801065183,5.16124548722023
